PokerStars Tournament #2243779117, No Limit Hold'em
Buy-In: $10.00/$1.00 USD
579 players
Total Prize Pool: $5790.00 USD 
Tournament started 2018/03/18 16:00:00 ET

  1: (p/r)okSerj (Russia), still playing
  2: *S*SEVA*S* (Belarus), still playing
  3: 13win13 (Russia), still playing
  4: 29KidOfWar29 (Romania), still playing
  5: 2gramsovcoke (United Kingdom), still playing
  6: 3iourou (Cyprus), still playing
  7: @rtemur (Russia), still playing
  8: AAndrewsKK (Brazil), still playing
  9: AHTOCb (Belarus), still playing
  10: ARTSchGamble (Germany), still playing
  11: AchQ (Bulgaria), still playing
  12: Aco_Zeko (Croatia), still playing
  13: Agusz1422 (Argentina), still playing
  14: Aleks_20_a (Belarus), still playing
  15: AlexClaude (Canada), still playing
  16: AlexPoc (Russia), still playing
  17: Alezor1 (Brazil), still playing
  18: AllStarRobz (Canada), still playing
  19: Allan.SCM (Brazil), still playing
  20: AmazingPlay9 (Brazil), still playing
  21: Anonimo45541 (Peru), still playing
  22: ArlesG (Brazil), still playing
  23: A||Strik3r|| (United Kingdom), still playing
  24: B-06244 (Russia), still playing
  25: BIELXXT96 (Brazil), still playing
  26: BITbOK1991 (Ukraine), still playing
  27: Bakadacha80 (Serbia), still playing
  28: Barmaley903 (Russia), still playing
  29: BatutinhaBR (Brazil), still playing
  30: Berkowitz33 (Brazil), still playing
  31: Bernardo807 (Brazil), still playing
  32: Big Rato (Brazil), still playing
  33: BigZou (Canada), still playing
  34: Bolko (Germany), still playing
  35: Bremer919 (Brazil), still playing
  36: BreninhoSJ (Brazil), still playing
  37: Brurovisky (Brazil), still playing
  38: Bzinsly (Brazil), still playing
  39: CP_violation (United Kingdom), still playing
  40: CaioCapT (Brazil), still playing
  41: Cbotacin (Brazil), still playing
  42: Chico Banhs (Germany), still playing
  43: Chiesaraise (Brazil), still playing
  44: Chilenito1982 (Chile), still playing
  45: ChupiscaTga (Brazil), still playing
  46: Crates05 (United Kingdom), still playing
  47: DENGER_AA_ (Russia), still playing
  48: DM_Lamb (Canada), still playing
  49: DStoyanov94 (Bulgaria), still playing
  50: DaTree (Dominican Republic), still playing
  51: Daan_kmisa10 (Brazil), still playing
  52: DahumAR (Brazil), still playing
  53: DanBotelho1 (Brazil), still playing
  54: Danielitoosk (Chile), still playing
  55: DavidSutiL (Brazil), still playing
  56: DelPane (Brazil), still playing
  57: Digo089 (Brazil), still playing
  58: DonkCommited (Costa Rica), still playing
  59: DownSwing57 (Brazil), still playing
  60: Dr Oberdan (Brazil), still playing
  61: Dr_Drey15 (Brazil), still playing
  62: DukzerAA (Brazil), still playing
  63: Edgaaa (Lithuania), still playing
  64: Elbrus Udjin (Ukraine), still playing
  65: Eleres88 (Brazil), still playing
  66: ElspethE (Hong Kong), still playing
  67: EmptyHouse82 (Brazil), still playing
  68: Eric TXG (Taiwan), still playing
  69: Evan998 (Brazil), still playing
  70: FERASHOWWW (Brazil), still playing
  71: FISHONAHEATER (Canada), still playing
