PokerStars Tournament #2282606533, No Limit Hold'em
Super Satellite
Buy-In: $13.37/$1.63 USD
248 players
Total Prize Pool: $3315.76 USD 
Target Tournament #2255161657 Buy-In: $215.00 USD
Tournament started 2018/04/19 8:02:00 ET

  1: ABORDAGE (Ukraine), still playing
  2: ALLPC (Argentina), still playing
  3: AVATARcoco (Romania), still playing
  4: AidynK (Kazakhstan), still playing
  5: AlexGC1989 (Romania), still playing
  6: Amink12341 [2] (Lebanon), still playing
  7: Betman1971 (Germany), still playing
  8: Br1ngCabbage (Ukraine), still playing
  9: Bugenhagen76 (United Kingdom), still playing
  10: CatchinWreck [2] (Bulgaria), still playing
  11: Chillero1441 (Austria), still playing
  12: DVDVILI [2] (Norway), still playing
  13: Denvlas (Russia), still playing
  14: DiDi828 (Belarus), still playing
  15: DontTilt28 (Germany), still playing
  16: Engels777 (Estonia), still playing
  17: Fugliee (United Kingdom), still playing
  18: Fumagalli01 [2] (Germany), still playing
  19: FunkiManki (Moldova), still playing
  20: Giriboga (United Kingdom), still playing
  21: LoVeRkKINGss (Cyprus), still playing
  22: M_Semensky (Bulgaria), still playing
  23: Motaa881 (Brazil), still playing
  24: Mpak.Vagelis (Greece), still playing
  25: Nevvegiveup (Estonia), still playing
  26: NiKKy.BY (Belarus), still playing
  27: Plan_Trap [2] (Ukraine), still playing
  28: PokerProUral (Russia), still playing
  29: Prco666333 (Slovakia), still playing
  30: Przemyt e30 (Poland), still playing
  31: Ruune666 (Poland), still playing
  32: SYMmmm (China), still playing
  33: Schoebinho (Germany), still playing
  34: SilentWil [2] (Germany), still playing
  35: Sjaaakiii (Belgium), still playing
  36: Spartasneak [2] (United Kingdom), still playing
  37: Stryke789 (Switzerland), still playing
  38: TheGusaroo (United Kingdom), still playing
  39: VCHV (Germany), still playing
  40: Warlord2323 (Brazil), still playing
  41: Yeahbuuddy (Sweden), still playing
  42: ZarZ77 (Russia), still playing
  43: Zihuatanejo3 (Russia), still playing
  44: abcdely3 (United Kingdom), still playing
  45: allstar tao (China), still playing
  46: batller54 (Russia), still playing
  47: bulgarblog (Russia), still playing
  48: corkirl55 [2] (Ireland), still playing
  49: dexter777720 (Argentina), still playing
  50: diego_1901 (Peru), still playing
  51: eiro07 (Austria), still playing
  52: el_23666 (Switzerland), still playing
  53: goxomago (Russia), still playing
  54: jagmico (United Kingdom), still playing
  55: joseko007 (Germany), still playing
  56: karinansk (Russia), still playing
  57: kostelo (Russia), still playing
  58: leangkang (New Zealand), still playing
  59: loiaconog (Venezuela), still playing
  60: louisman (Canada), still playing
  61: macnab242 (Canada), still playing
  62: mag2110 (Russia), still playing
  63: pahan8989 (Russia), still playing
  64: pascalaualin (United Kingdom), still playing
  65: pavlelelep (Serbia), still playing
  66: poliakov777 (Ukraine), still playing
  67: realrood (Netherlands), still playing
  68: registr24 (Russia), still playing
  69: robko94584 (Slovakia), still playing
  70: sh1ftych1p (United Kingdom), still playing
  71: sjohnny200 (Greece), still playing
  72: solarispoker (Bulgaria), still playing
  73: sternfelds (United Kingdom), still playing
  74: stroalff (Germany), still playing
  75: taulant2016 (Albania), still playing
  76: tortik747 (Russia), still playing
  77: vitja1234 (Russia), still playing
  78: wert2112 (Russia), still playing
  79: zahon (Russia), still playing
  80: ollikahn23 [2] (Germany), 
  81: Hustlaaar (Germany), 
  82: spywix (Belgium), 
  83: alanzao (Brazil), 
  84: D.Aranha_j8 [2] (Brazil), 
  85: fairplayguma [2] (Brazil), 
  86: MMO_Unstable (Bulgaria), 
  87: Dr.PoonHand (Canada), 
  88: sabouvasile1 (Romania), 
  89: TheSlyWolf (United Kingdom), 
  90: b4shesh (Latvia), 
  91: skalexjung [3] (Germany), 
  92: anna magnana (Germany), 
  93: Aaronlin (Taiwan), 
  94: Budasek2013 (Lithuania), 
  95: pinguinho (Brazil), 
  96: fernandul27 (Brazil), 
  97: Smertin (Switzerland), 
  98: Tg1314 (New Zealand), 
  99: 1EP3 (Russia), 
  100: Svergun_irk (Russia), 
  101: 8tama8 (United Kingdom), 
  102: D.Aranha_j8 (Brazil), 
  103: AAwashing08 (United Kingdom), 
  104: kabreiro (Brazil), 
  105: AKLJ90 (Norway), 
  106: SwordArt146 (China), 
  107: tonywildboy (United Kingdom), 
  108: Alabaj$81 (Russia), 
  109: polaris2915 [3] (China), 
  110: kezlord (United Kingdom), 
  111: Fr3nChi (Canada), 
  112: g4byy_gunit [3] (Romania), 
  113: Pheanox (United Kingdom), 
  114: suleyman618 (Switzerland), 
  115: cens007 (Croatia), 
  116: luckyam'i.88 (Malta), 
  117: gajor93 (Poland), 
  118: workoholikp (Slovakia), 
  119: bandamakaron (Austria), 
  120: SnowmanTony (Belgium), 
  121: Spartasneak (United Kingdom), 
  122: polaris2915 [2] (China), 
